datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2234.328,False
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2212.661,False
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2156.297,False
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2121.470,False
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2110.066,False
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2192.772,False
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2297.557,False
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2386.516,False
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2401.800,False
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,2332.749,False
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,2387.715,False
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,2396.839,False
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,2425.145,False
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,2472.247,False
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,2560.664,False
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,2652.851,False
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,2774.119,False
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,RFC,MIDATL,PEP,PEPCO,2873.218,False
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,RFC,MIDATL,PEP,PEPCO,2870.583,False
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,RFC,MIDATL,PEP,PEPCO,2860.642,False
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,RFC,MIDATL,PEP,PEPCO,2825.680,False
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,RFC,MIDATL,PEP,PEPCO,2757.954,False
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,RFC,MIDATL,PEP,PEPCO,2639.429,False
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2582.826,False
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2505.691,False
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2455.258,False
